method,path,line,source
GET,/report/vendor/excessPayment,11358,url_config
GET,/report/vendor/payableAmount?storeIds={param},11334,url_config
GET,/report/vendor/statement/vendorId/{param}?storeIds={param},238849,url_config
POST,/returnOrder,47025,direct_call
PUT,/returnOrder,47042,direct_call
PUT,/returnOrder/bulk,47051,url_config
DELETE,/returnOrder/cancelled/{param},47061,url_config
POST,/returnOrder/clone/{param}?storeIds={param},47034,url_config
GET,/returnOrder/erp/statusTimeLine/{param}?storeIds={param},55357,url_config
POST,/returnOrder/fromOrder/creditMemo/{param}?storeIds={param},47095,url_config
PUT,/returnOrder/lineItem,47159,url_config
GET,/returnOrder/lineItem/by-master-child-mapping/{param}?sortedByProductName=true&storeIds={param},55168,url_config
GET,/returnOrder/lineItem/by-master-child-mapping/{param}?sortedByProductName=true&storeIds={param}&masterProductId={param},55146,url_config
PUT,/returnOrder/lineItem/withPayment,47183,url_config
GET,/returnOrder/lineItem/{param}/export/csv,54756,url_config
GET,/returnOrder/lineItem/{param}/export/csv?storeIds={param},54746,url_config
GET,/returnOrder/lineItem/{param}?storeIds={param},47136,url_config
GET,/returnOrder/list?storeIds={param},60180,url_config
PUT,/returnOrder/notes?storeIds={param},47209,url_config
PATCH,/returnOrder/status/{param}?status={param},47198,direct_call
PUT,/returnOrder/transferReturnOrder,47105,url_config
GET,/returnOrder/{param}/image/product/{param},48334,url_config
POST,/returnOrder/{param}/image/product/{param},48343,url_config
DELETE,/returnOrder/{param}/image/{param},48354,url_config
GET,/returnOrder/{param}/withCustomer?storeIds={param},47116,direct_call
POST,/role,5952,url_config
POST,/role/clone/{param}?roleName={param},5990,url_config
GET,/role/list?type=Employee,239278,url_config
PUT,/role/user/fieldAuthority,6020,url_config
PUT,/role/user/fieldAuthority/{param},6011,url_config
DELETE,/role/{param},5959,url_config
PUT,/role/{param}/updateAuthorities,5944,url_config
POST,/role/{param}/{param},6001,url_config
PUT,/role/{param}/{param},5974,url_config
PUT,/role/{param}/{param}/updateFieldAuthorities,5981,url_config
POST,/salesOrder,45558,url_config
PUT,/salesOrder/bulk,45528,url_config
DELETE,/salesOrder/cancelled/bulk,45538,url_config
POST,/salesOrder/from/quotation?storeIds={param},46450,url_config
POST,/salesOrder/fromPO?storeIds={param},45603,url_config
GET,/salesOrder/fulfilment/{param}?storeIds={param},51638,url_config
DELETE,/salesOrder/lineItem/bulk?lineItemIds={param}&salesOrderId={param},45590,url_config
GET,/salesOrder/lineItem/byMasterChildMapping/{param}?sortedByProductName=true&storeIds={param},51817,url_config
GET,/salesOrder/lineItem/byMasterChildMapping/{param}?sortedByProductName=true&storeIds={param}&masterProductId={param},51795,url_config
GET,/salesOrder/lineItem/{param}?storeIds={param},45752,url_config
PUT,/salesOrder/list?storeIds={param},45519,url_config
PUT,/salesOrder/notes?storeIds={param},45632,url_config
DELETE,/salesOrder/payment/{param}/voidPayment,45856,url_config
GET,/salesOrder/payment/{param}?storeIds={param},52313,url_config
GET,/salesOrder/profitDetailOnSalesOrderAndLineItem/{param}?storeIds={param},52506,url_config
DELETE,/salesOrder/shipment,48552,url_config
POST,/salesOrder/shipment,48512,direct_call
PUT,/salesOrder/shipment,48516,direct_call
GET,/salesOrder/shipment/{param},48533,url_config
PUT,/salesOrder/status/{param},45550,url_config
GET,/salesOrder/tag/{param}/timeLine?storeIds={param},52619,url_config
GET,/salesOrder/tag/{param}?storeIds={param},45850,url_config
POST,/salesOrder/tag/{param}?storeIds={param},45691,direct_call
PUT,/salesOrder/{param},45681,url_config
